Date,Bar Name,Brand Name,Consumed (ml)
2026-02-07,Main Bar,Brand B,1849.0854607315944
2026-02-08,Main Bar,Brand B,1450.1681955983283
2026-02-09,Main Bar,Brand B,1392.9531553494237
2026-02-10,Main Bar,Brand B,1480.2950415366008
2026-02-11,Main Bar,Brand B,1781.5585104181248
2026-02-12,Main Bar,Brand B,1341.0502957651947
2026-02-13,Main Bar,Brand B,1803.7662538942827
2026-02-14,Main Bar,Brand B,2176.233667579893
2026-02-15,Main Bar,Brand B,1544.373104821036
2026-02-16,Main Bar,Brand B,1321.4638103705863
2026-02-17,Main Bar,Brand B,1565.8895727614404
2026-02-18,Main Bar,Brand B,1478.85583018171
2026-02-19,Main Bar,Brand B,1522.5359377341017
2026-02-20,Main Bar,Brand B,1778.9676208330825
2026-02-21,Main Bar,Brand B,2221.056956773037
2026-02-22,Main Bar,Brand B,1563.4829327631744
2026-02-23,Main Bar,Brand B,1311.1846347940807
2026-02-24,Main Bar,Brand B,1609.0008518176282
2026-02-25,Main Bar,Brand B,1594.4552745000403
2026-02-26,Main Bar,Brand B,1543.673477561994
2026-02-27,Main Bar,Brand B,2082.81688451814
2026-02-28,Main Bar,Brand B,2248.498051496347
2026-03-01,Main Bar,Brand B,1531.328971141398
2026-03-02,Main Bar,Brand B,1554.809442839145
2026-03-03,Main Bar,Brand B,1366.7289973027098
2026-03-04,Main Bar,Brand B,1626.3239304348494
2026-03-05,Main Bar,Brand B,1423.598888770735
2026-03-06,Main Bar,Brand B,1894.3647387560336
2026-03-07,Main Bar,Brand B,2026.7291593208995
2026-03-08,Main Bar,Brand B,1530.7569743619504
2026-03-09,Main Bar,Brand B,1433.5763771329666
2026-03-10,Main Bar,Brand B,1292.750316820337
2026-03-11,Main Bar,Brand B,1525.8552527829288
2026-03-12,Main Bar,Brand B,1364.3658770829156
2026-03-13,Main Bar,Brand B,2286.690093661893
2026-03-14,Main Bar,Brand B,1732.628691167785
2026-03-15,Main Bar,Brand B,1561.7509087484068
2026-03-16,Main Bar,Brand B,1264.6101805720657
2026-03-17,Main Bar,Brand B,1549.4090394712218
2026-03-18,Main Bar,Brand B,1363.0768788882935
2026-03-19,Main Bar,Brand B,1171.6145839853582
2026-03-20,Main Bar,Brand B,1868.1637858507056
2026-03-21,Main Bar,Brand B,1965.3256765140932
2026-03-22,Main Bar,Brand B,1718.5814630305626
2026-03-23,Main Bar,Brand B,1562.127011997378
2026-03-24,Main Bar,Brand B,1565.8186303721563
2026-03-25,Main Bar,Brand B,1261.770510484556
2026-03-26,Main Bar,Brand B,1410.2147007625088
2026-03-27,Main Bar,Brand B,1971.8675554191689
2026-03-28,Main Bar,Brand B,1910.8639239720007
2026-03-29,Main Bar,Brand B,1465.1503380755703
2026-03-30,Main Bar,Brand B,1739.096011380505
2026-03-31,Main Bar,Brand B,1594.4454608135748
2026-04-01,Main Bar,Brand B,1366.1082032472232
2026-04-02,Main Bar,Brand B,1337.668377456875
2026-04-03,Main Bar,Brand B,2335.721435226046
2026-04-04,Main Bar,Brand B,1879.5976191359764
2026-04-05,Main Bar,Brand B,1610.3483768789476
2026-04-06,Main Bar,Brand B,1484.395080066433
2026-04-07,Main Bar,Brand B,1689.6801976692711
2026-04-08,Main Bar,Brand B,1327.7472486574095
2026-04-09,Main Bar,Brand B,1746.3341191659406
2026-04-10,Main Bar,Brand B,1952.167369392109
2026-04-11,Main Bar,Brand B,1928.1539335725183
2026-04-12,Main Bar,Brand B,1564.9035007740476
2026-04-13,Main Bar,Brand B,1564.6262550167178
2026-04-14,Main Bar,Brand B,1721.3839004472857
2026-04-15,Main Bar,Brand B,1411.7814338423027
2026-04-16,Main Bar,Brand B,1892.6951606066923
2026-04-17,Main Bar,Brand B,1844.5614654601916
2026-04-18,Main Bar,Brand B,2045.0758118601807
2026-04-19,Main Bar,Brand B,1434.0876238838014
2026-04-20,Main Bar,Brand B,1544.8264411514317
2026-04-21,Main Bar,Brand B,1492.2601990695182
2026-04-22,Main Bar,Brand B,1570.2024263419817
2026-04-23,Main Bar,Brand B,1289.574487074914
2026-04-24,Main Bar,Brand B,1992.209242903064
2026-04-25,Main Bar,Brand B,1943.509905337731
2026-04-26,Main Bar,Brand B,1456.661205997987
2026-04-27,Main Bar,Brand B,1344.6724026784664
2026-04-28,Main Bar,Brand B,1486.1150915706892
2026-04-29,Main Bar,Brand B,1596.0076117506778
2026-04-30,Main Bar,Brand B,1305.321015839755
2026-01-01,Main Bar,Brand C,744.032486098065
2026-01-02,Main Bar,Brand C,930.2903166596914
2026-01-03,Main Bar,Brand C,965.1606726421472
2026-01-04,Main Bar,Brand C,676.6899098247412
2026-01-05,Main Bar,Brand C,728.326261359841
2026-01-06,Main Bar,Brand C,653.1185235068493
2026-01-07,Main Bar,Brand C,630.6373524702308
2026-01-08,Main Bar,Brand C,698.4013782581325
2026-01-09,Main Bar,Brand C,952.316596705679
2026-01-10,Main Bar,Brand C,911.6897579116788
2026-01-11,Main Bar,Brand C,701.7182206875603
2026-01-12,Main Bar,Brand C,751.774263450515
2026-01-13,Main Bar,Brand C,700.2546529970807
2026-01-14,Main Bar,Brand C,722.8878171041337
2026-01-15,Main Bar,Brand C,656.2030315054039
2026-01-16,Main Bar,Brand C,901.0225215328212
2026-01-17,Main Bar,Brand C,960.2837443240876
2026-01-18,Main Bar,Brand C,622.7795270392888
2026-01-19,Main Bar,Brand C,721.2785023353017
2026-01-20,Main Bar,Brand C,706.7526872175387
2026-01-21,Main Bar,Brand C,705.8397612459671
2026-01-22,Main Bar,Brand C,643.9378896420181
2026-01-23,Main Bar,Brand C,825.6019467958088
2026-01-24,Main Bar,Brand C,961.337479195872
2026-01-25,Main Bar,Brand C,645.9290304676938
2026-01-26,Main Bar,Brand C,569.4228279812863
2026-01-27,Main Bar,Brand C,654.050716905181
2026-01-28,Main Bar,Brand C,750.3712226690168
2026-01-29,Main Bar,Brand C,642.855285929084
2026-01-30,Main Bar,Brand C,1045.1945704615514
2026-01-31,Main Bar,Brand C,901.9132393799712
2026-02-01,Main Bar,Brand C,591.4925376543122
2026-02-02,Main Bar,Brand C,610.2927108928689
2026-02-03,Main Bar,Brand C,714.3053675135233
2026-02-04,Main Bar,Brand C,629.2874205389132
2026-02-05,Main Bar,Brand C,692.205467466798
2026-02-06,Main Bar,Brand C,920.3755910940072
2026-02-07,Main Bar,Brand C,938.015264277207
2026-02-08,Main Bar,Brand C,584.6321758677358
2026-02-09,Main Bar,Brand C,535.3951898588168
2026-02-10,Main Bar,Brand C,563.4435558223225
2026-02-11,Main Bar,Brand C,899.1648361853092
2026-02-12,Main Bar,Brand C,672.3399950921681
2026-02-13,Main Bar,Brand C,914.3514904338242
2026-02-14,Main Bar,Brand C,942.6909115921296
2026-02-15,Main Bar,Brand C,682.9953649142287
2026-02-16,Main Bar,Brand C,775.7622926223983
2026-02-17,Main Bar,Brand C,610.0489907221576
2026-02-18,Main Bar,Brand C,671.8576287691043
2026-02-19,Main Bar,Brand C,711.3115672574712
2026-02-20,Main Bar,Brand C,993.6956169862696
2026-02-21,Main Bar,Brand C,973.451177423115
2026-02-22,Main Bar,Brand C,749.6151487293882
2026-02-23,Main Bar,Brand C,746.3292246540716
2026-02-24,Main Bar,Brand C,576.8131015929666
2026-02-25,Main Bar,Brand C,639.6770091423302
2026-02-26,Main Bar,Brand C,773.1824665996821
2026-02-27,Main Bar,Brand C,1047.8670970788871
2026-02-28,Main Bar,Brand C,958.0216761144476
2026-03-01,Main Bar,Brand C,706.8768642743061
2026-03-02,Main Bar,Brand C,761.9873457775412
2026-03-03,Main Bar,Brand C,704.5660458118459
2026-03-04,Main Bar,Brand C,729.8963880953347
2026-03-05,Main Bar,Brand C,697.7673919926983
2026-03-06,Main Bar,Brand C,963.1538356332236
2026-03-07,Main Bar,Brand C,897.53212557804
2026-03-08,Main Bar,Brand C,728.1646588033057
2026-03-09,Main Bar,Brand C,727.5240424127121
2026-03-10,Main Bar,Brand C,583.2826513841169
2026-03-11,Main Bar,Brand C,768.423659763177
2026-03-12,Main Bar,Brand C,647.203174641691
2026-03-13,Main Bar,Brand C,831.9829308928532
2026-03-14,Main Bar,Brand C,998.337383392931
2026-03-15,Main Bar,Brand C,676.3744074525788
2026-03-16,Main Bar,Brand C,766.8400139931828
2026-03-17,Main Bar,Brand C,830.4729043290936
2026-03-18,Main Bar,Brand C,713.9810668285144
2026-03-19,Main Bar,Brand C,609.5483438647482
2026-03-20,Main Bar,Brand C,956.5350085764692
2026-03-21,Main Bar,Brand C,1008.097310356874
2026-03-22,Main Bar,Brand C,696.5894528284709
2026-03-23,Main Bar,Brand C,628.6893223786248
2026-03-24,Main Bar,Brand C,667.7755400006583
2026-03-25,Main Bar,Brand C,788.1980805466014
2026-03-26,Main Bar,Brand C,864.2698808818129
2026-03-27,Main Bar,Brand C,938.6623780571332
2026-03-28,Main Bar,Brand C,996.1427094055596
2026-03-29,Main Bar,Brand C,791.0751402287921
2026-03-30,Main Bar,Brand C,663.9525256240197
2026-03-31,Main Bar,Brand C,651.2084651315225
2026-04-01,Main Bar,Brand C,707.831944879844
2026-04-02,Main Bar,Brand C,740.8931741447317
2026-04-03,Main Bar,Brand C,925.2292196842194
2026-04-04,Main Bar,Brand C,926.411012521051
2026-04-05,Main Bar,Brand C,678.5053218656147
2026-04-06,Main Bar,Brand C,708.8665784693554
2026-04-07,Main Bar,Brand C,671.8187519301865
2026-04-08,Main Bar,Brand C,741.4365467494074
2026-04-09,Main Bar,Brand C,601.989049497127
2026-04-10,Main Bar,Brand C,894.0176342744105
2026-04-11,Main Bar,Brand C,1023.2601996197692
2026-04-12,Main Bar,Brand C,568.6369931482939
2026-04-13,Main Bar,Brand C,631.9248788898692
2026-04-14,Main Bar,Brand C,658.2730256469786
2026-04-15,Main Bar,Brand C,660.362040800433
2026-04-16,Main Bar,Brand C,660.820612887648
2026-04-17,Main Bar,Brand C,973.2284022583063
2026-04-18,Main Bar,Brand C,907.2125883310676
2026-04-19,Main Bar,Brand C,823.0434009328353
2026-04-20,Main Bar,Brand C,627.4285981537357
2026-04-21,Main Bar,Brand C,625.0255371749391
2026-04-22,Main Bar,Brand C,652.364253875783
2026-04-23,Main Bar,Brand C,750.1781685346323
2026-04-24,Main Bar,Brand C,990.307862438457
2026-04-25,Main Bar,Brand C,988.4377239248872
2026-04-26,Main Bar,Brand C,758.547863026072
2026-04-27,Main Bar,Brand C,624.1087596590933
2026-04-28,Main Bar,Brand C,765.5405007437771
2026-04-29,Main Bar,Brand C,689.0174309907386
2026-04-30,Main Bar,Brand C,577.4295877534544
2026-01-01,Pool Bar,Brand A,1898.3090851272805
2026-01-02,Pool Bar,Brand A,2002.296403120575
2026-01-03,Pool Bar,Brand A,2000.646789798825
2026-01-04,Pool Bar,Brand A,1470.2346002773595
2026-01-05,Pool Bar,Brand A,1746.4772329921166
2026-01-06,Pool Bar,Brand A,1435.1639997425602
2026-01-07,Pool Bar,Brand A,1821.756495985721
2026-01-08,Pool Bar,Brand A,1707.7337895364594
2026-01-09,Pool Bar,Brand A,2394.1600916213747
2026-01-10,Pool Bar,Brand A,2622.1645061658805
2026-01-11,Pool Bar,Brand A,1804.7626954788493
2026-01-12,Pool Bar,Brand A,1599.4956582312536
2026-01-13,Pool Bar,Brand A,1832.2881334738909
2026-01-14,Pool Bar,Brand A,1475.251551558404
2026-01-15,Pool Bar,Brand A,1653.2984473441095
2026-01-16,Pool Bar,Brand A,2206.4543923207107
2026-01-17,Pool Bar,Brand A,1988.453529384944
2026-01-18,Pool Bar,Brand A,1595.7644847229458
2026-01-19,Pool Bar,Brand A,1712.7621990157213
2026-01-20,Pool Bar,Brand A,1655.768966418189
2026-01-21,Pool Bar,Brand A,2008.8255198634752
2026-01-22,Pool Bar,Brand A,1405.3839514689414
2026-01-23,Pool Bar,Brand A,1959.387122561209
2026-01-24,Pool Bar,Brand A,1966.261936311588
2026-01-25,Pool Bar,Brand A,1612.8312059860743
2026-01-26,Pool Bar,Brand A,1521.6147120046408
2026-01-27,Pool Bar,Brand A,1337.1748456659057
2026-01-28,Pool Bar,Brand A,1411.6272249850251
2026-01-29,Pool Bar,Brand A,1767.7630611912691
2026-01-30,Pool Bar,Brand A,2269.737785983388
2026-01-31,Pool Bar,Brand A,2519.5602194558105
2026-02-01,Pool Bar,Brand A,2085.84497410905
2026-02-02,Pool Bar,Brand A,1413.7920669956618
2026-02-03,Pool Bar,Brand A,2021.575211386821
2026-02-04,Pool Bar,Brand A,1328.2333520481625
2026-02-05,Pool Bar,Brand A,1522.1792695999352
2026-02-06,Pool Bar,Brand A,2043.7711505189343
2026-02-07,Pool Bar,Brand A,2287.7522791566707
2026-02-08,Pool Bar,Brand A,1494.0533483136396
2026-02-09,Pool Bar,Brand A,1607.0561969761443
2026-02-10,Pool Bar,Brand A,1262.7000552167783
2026-02-11,Pool Bar,Brand A,1340.70640999011
2026-02-12,Pool Bar,Brand A,1855.2171200803004
2026-02-13,Pool Bar,Brand A,2157.173702637636
2026-02-14,Pool Bar,Brand A,2320.3636918173897
2026-02-15,Pool Bar,Brand A,2202.5964335576773
2026-02-16,Pool Bar,Brand A,1719.3657954388443
2026-02-17,Pool Bar,Brand A,1525.5174508332134
2026-02-18,Pool Bar,Brand A,1690.2765031950516
2026-02-19,Pool Bar,Brand A,1551.8145505311795
2026-02-20,Pool Bar,Brand A,2140.769341095556
2026-02-21,Pool Bar,Brand A,2684.8302638282253
2026-02-22,Pool Bar,Brand A,1571.705268266837
2026-02-23,Pool Bar,Brand A,1599.6681208186378
2026-02-24,Pool Bar,Brand A,1632.324362354875
2026-02-25,Pool Bar,Brand A,1382.3786152597347
2026-02-26,Pool Bar,Brand A,1810.713028667252
2026-02-27,Pool Bar,Brand A,1682.805094923548
2026-02-28,Pool Bar,Brand A,2450.9981722626585
2026-03-01,Pool Bar,Brand A,1721.3706151703757
2026-03-02,Pool Bar,Brand A,1370.5464743577
2026-03-03,Pool Bar,Brand A,1872.9176902881245
2026-03-04,Pool Bar,Brand A,2264.5004184913664
2026-03-05,Pool Bar,Brand A,1995.721380803179
2026-03-06,Pool Bar,Brand A,2365.885590502572
2026-03-07,Pool Bar,Brand A,2348.7778437331854
2026-03-08,Pool Bar,Brand A,1463.966258602351
2026-03-09,Pool Bar,Brand A,1579.81855893434
2026-03-10,Pool Bar,Brand A,1033.9253443600476
2026-03-11,Pool Bar,Brand A,2000.5091389186705
2026-03-12,Pool Bar,Brand A,1259.1383606828358
2026-03-13,Pool Bar,Brand A,2331.2064516206187
2026-03-14,Pool Bar,Brand A,2067.779811818495
2026-03-15,Pool Bar,Brand A,1736.766768602575
2026-03-16,Pool Bar,Brand A,1562.4871225663248
2026-03-17,Pool Bar,Brand A,2198.322859670191
2026-03-18,Pool Bar,Brand A,1643.172208140182
2026-03-19,Pool Bar,Brand A,1528.909724776016
2026-03-20,Pool Bar,Brand A,2120.031345603514
2026-03-21,Pool Bar,Brand A,1926.0283082984051
2026-03-22,Pool Bar,Brand A,1803.3251531670664
2026-03-23,Pool Bar,Brand A,1825.7145023867452
2026-03-24,Pool Bar,Brand A,1896.9844411227996
2026-03-25,Pool Bar,Brand A,1886.328835240525
2026-03-26,Pool Bar,Brand A,1764.809447666403
2026-03-27,Pool Bar,Brand A,2204.7694279192438
2026-03-28,Pool Bar,Brand A,2657.539354172733
2026-03-29,Pool Bar,Brand A,1533.1705720604634
2026-03-30,Pool Bar,Brand A,1401.543766675811
2026-03-31,Pool Bar,Brand A,1953.0225424336609
2026-04-01,Pool Bar,Brand A,1602.684170881265
2026-04-02,Pool Bar,Brand A,1824.943816181768
2026-04-03,Pool Bar,Brand A,2146.430030359672
2026-04-04,Pool Bar,Brand A,2315.753913923397
2026-04-05,Pool Bar,Brand A,1477.630137808516
2026-04-06,Pool Bar,Brand A,1412.480576367233
2026-04-07,Pool Bar,Brand A,1745.9519451895153
2026-04-08,Pool Bar,Brand A,2177.28628411747
2026-04-09,Pool Bar,Brand A,1715.7455362890328
2026-04-10,Pool Bar,Brand A,2442.026739966962
2026-04-11,Pool Bar,Brand A,2061.816890380653
2026-04-12,Pool Bar,Brand A,1792.0410921410582
2026-04-13,Pool Bar,Brand A,1311.3844523312223
2026-04-14,Pool Bar,Brand A,1658.4764259283268
2026-04-15,Pool Bar,Brand A,2009.737656908082
2026-04-16,Pool Bar,Brand A,1138.674757276271
2026-04-17,Pool Bar,Brand A,2365.9699470755268
2026-04-18,Pool Bar,Brand A,2190.0111513964143
2026-04-19,Pool Bar,Brand A,1604.018398275491
2026-04-20,Pool Bar,Brand A,1696.8325742641523
2026-04-21,Pool Bar,Brand A,1559.621992192735
2026-04-22,Pool Bar,Brand A,972.9074937593704
2026-04-23,Pool Bar,Brand A,1742.2285643559535
2026-04-24,Pool Bar,Brand A,2392.5224931295124
2026-04-25,Pool Bar,Brand A,2623.070852238337
2026-04-26,Pool Bar,Brand A,1055.5307952765716
2026-04-27,Pool Bar,Brand A,1596.9083712070287
2026-04-28,Pool Bar,Brand A,1392.346872545665
2026-04-29,Pool Bar,Brand A,1835.2392030956455
2026-04-30,Pool Bar,Brand A,1831.0377453125109
2026-01-01,Pool Bar,Brand B,670.6385105700015
2026-01-02,Pool Bar,Brand B,1453.4360840786012
2026-01-03,Pool Bar,Brand B,1373.7751223168698
2026-01-04,Pool Bar,Brand B,1165.716448833149
2026-01-05,Pool Bar,Brand B,1039.386287408974
2026-01-06,Pool Bar,Brand B,1071.0927899217772
2026-01-07,Pool Bar,Brand B,1090.947650707737
2026-01-08,Pool Bar,Brand B,1110.9428893599177
2026-01-09,Pool Bar,Brand B,1088.933692102516
2026-01-10,Pool Bar,Brand B,1181.1803459518542
2026-01-11,Pool Bar,Brand B,1085.9513464476854
2026-01-12,Pool Bar,Brand B,775.9929335592842
2026-01-13,Pool Bar,Brand B,908.3485871715006
2026-01-14,Pool Bar,Brand B,918.3635999358488
2026-01-15,Pool Bar,Brand B,1049.9964787893218
2026-01-16,Pool Bar,Brand B,1053.025828302547
2026-01-17,Pool Bar,Brand B,1257.2566415698552
2026-01-18,Pool Bar,Brand B,826.7965594339494
2026-01-19,Pool Bar,Brand B,882.3126069113
2026-01-20,Pool Bar,Brand B,1224.8775070460629
2026-01-21,Pool Bar,Brand B,1105.2773543626745
2026-01-22,Pool Bar,Brand B,914.1896707077002
2026-01-23,Pool Bar,Brand B,1365.1581602022304
2026-01-24,Pool Bar,Brand B,983.6507802059158
2026-01-25,Pool Bar,Brand B,1141.2929160028723
2026-01-26,Pool Bar,Brand B,966.609922072342
2026-01-27,Pool Bar,Brand B,824.44178509175
2026-01-28,Pool Bar,Brand B,1120.325390008382
2026-01-29,Pool Bar,Brand B,904.0225770668384
2026-01-30,Pool Bar,Brand B,1297.7424211268583
2026-01-31,Pool Bar,Brand B,1383.1360044000116
2026-02-01,Pool Bar,Brand B,1243.8918524421942
2026-02-02,Pool Bar,Brand B,1075.358979971491
2026-02-03,Pool Bar,Brand B,989.1312454766723
2026-02-04,Pool Bar,Brand B,838.0082307591149
2026-02-05,Pool Bar,Brand B,923.8829972795342
2026-02-06,Pool Bar,Brand B,1281.3280245666422
2026-02-07,Pool Bar,Brand B,1708.9759498552917
2026-02-08,Pool Bar,Brand B,1024.234380560093
2026-02-09,Pool Bar,Brand B,809.2633517499082
2026-02-10,Pool Bar,Brand B,1307.1625494764144
2026-02-11,Pool Bar,Brand B,917.5531627410672
